run,success,fun,x_opt,elapsed_s,mse,sim_min,sim_max,sim_mean,n_nan,n_inf,error_type,error_msg,traceback_tail
20,True,1000000.0,"[0.6723772824527295, -0.3747280939873745, 0.6311869137187044, 0.275564699298154]",0.00805521011352539,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
21,True,1000000.0,"[-0.9292263506133891, 0.3023880077136983, 0.5330750546362893, -1.6440016230341499]",0.009101629257202148,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
22,True,1000000.0,"[1.1186187426594856, -0.07605777441204364, 0.4360649636633556, -1.4162772685940284]",0.007985115051269531,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
23,True,1000000.0,"[0.341691835038495, 0.3283677425558993, 1.0, 1.7615582105476615]",0.008275032043457031,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
24,True,1000000.0,"[-1.4324259210097203, -0.012932933890102305, 0.8153598145463035, -0.5206490639322745]",0.005654096603393555,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
25,True,1000000.0,"[-0.6549105326867112, -0.5, 0.04035014960059432, 1.3194080453881605]",0.006018877029418945,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
26,True,1000000.0,"[-0.9371329592084192, -0.0969782292441605, 0.8142344086990875, 1.224121156503152]",0.004889726638793945,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
27,True,1000000.0,"[-1.3830171496088313, -0.4422532990721889, 0.6978287039556762, 0.009283322224950194]",0.0048236846923828125,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
28,True,1000000.0,"[0.4358928940865675, -0.37482960523116277, 0.7074759566912177, 0.586476607366565]",0.004841804504394531,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
29,True,1000000.0,"[1.6996527505321228, -0.26400998020262234, 0.27088136141120917, 1.0002324657144637]",0.005256175994873047,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
