k_nn,threshold,node_index,node_name,kappa_grid_best,mse_grid_best,joint_success,params_joint,mse_joint,mse_node,corr_node
3,0.001,3,3,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9999112032030935,0.00948671293187331
3,0.001,4,4,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9996705092906658,0.018217299965030954
3,0.01,0,0,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9998199185796521,0.013429230704297416
3,0.01,1,1,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9992737016839417,0.02721022908286465
3,0.01,2,2,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9994310777404795,0.02397146975631642
3,0.01,3,3,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9999112032030935,0.00948671293187331
3,0.01,4,4,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9996705092906658,0.018217299965030954
3,0.05,0,0,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9998199185796521,0.013429230704297416
3,0.05,1,1,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9992737016839417,0.02721022908286465
3,0.05,2,2,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9994310777404795,0.02397146975631642
3,0.05,3,3,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9999112032030935,0.00948671293187331
3,0.05,4,4,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9996705092906658,0.018217299965030954
4,0.001,0,0,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9998149630756983,0.01361586626889846
4,0.001,1,1,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.999257196117894,0.0275205733591177
4,0.001,2,2,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9994364832282804,0.023886925898400125
4,0.001,3,3,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9999234115490224,0.008931630432245498
4,0.001,4,4,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9996671934045533,0.018319100708362172
4,0.01,0,0,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9998149630756983,0.01361586626889846
4,0.01,1,1,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.999257196117894,0.0275205733591177
4,0.01,2,2,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9994364832282804,0.023886925898400125
4,0.01,3,3,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9999234115490224,0.008931630432245498
4,0.01,4,4,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9996671934045533,0.018319100708362172
4,0.05,0,0,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9998149630756983,0.01361586626889846
4,0.05,1,1,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.999257196117894,0.0275205733591177
4,0.05,2,2,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9994364832282804,0.023886925898400125
4,0.05,3,3,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9999234115490224,0.008931630432245498
4,0.05,4,4,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9996671934045533,0.018319100708362172
