lambda_b,lambda_k,init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message
0.01,0.0,27,0.47853299449471326,-0.030706763661457942,0.0,0.17799525008330083,True,0.6520682108850882,0.0006012848074481135,0.17353521299745017,-0.5835765378599179,0.9996161451808555,0.9996161487962897,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,28,0.7414773093672309,-0.615799463509808,0.04629113462166959,-0.5127820443626246,True,0.7530871230163846,0.0003440613532704593,0.07259453401509824,-0.5830248087138707,0.9996161464765103,0.9996161476602925,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,29,0.7989594205105052,0.22214220402079618,0.27084278013942376,-0.7477217767506885,True,0.5990743705961701,0.0007738919942206362,0.22705185095068578,-0.7194323978232239,0.9996167573797378,0.999616763368826,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,0,0.19240872698966738,-0.49281284094730626,0.6843477923113284,0.4372705884176672,True,0.19240876448113228,-0.4928129171294011,0.6843477931062996,0.43727101788124034,2.3507859208963624,2.355126626040047,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.01,0.01,1,0.28111730288242254,-0.6159019314472327,0.0,0.056046323479470236,True,0.5250331520253133,-0.0031378625060703544,0.2439158489794146,-0.02068678708284301,0.9997026761112107,0.9997070540046198,7,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,2,0.3994260599216849,-1.1192622833186603,0.24753214498444323,0.3994784616643575,True,0.3943328495667423,-0.002743687335282451,0.3742745353690488,-0.020774466294884827,0.9997026651079421,0.9997070561706425,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,3,0.3275670224074654,-0.18859277529021634,0.4076231426330944,-0.4289881130407052,True,0.3450880937575767,-0.002988201989270403,0.42514421398320573,-0.021144865886732343,0.9997024909325567,0.9997070512796017,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,4,0.8193496400199102,-0.6123774891915654,0.005157101507382383,-1.1216127109012575,False,0.8596181438244951,-0.029285573722876056,0.22687346037963738,1.356693495012077,205.11575356089796,205.13416830974032,9,ABNORMAL: 
0.01,0.01,5,0.31457274915930794,-0.25046193459142985,0.5552221185909316,0.44287710535900804,False,0.3145725432702321,-0.25046220860500246,0.5552220316317512,0.4428754697900996,3.6429496468136513,3.6455383468104623,1,ABNORMAL: 
0.01,0.01,6,0.5980969761179511,-1.2439219666889174,0.13821801271967032,0.40686626171732,True,0.5693910723614367,-0.002721129359035641,0.20078244572524717,-0.020967239443550254,0.9997025809289346,0.9997070512256834,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,7,0.23310423824310636,-0.6143238924239963,0.44589431741436897,0.04842510690184265,True,0.27842362426308387,-0.0026623826550891405,0.4912137034343465,-0.020922101145769197,0.9997026031140362,0.9997070513400138,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,8,0.7187057217777402,-0.14932928027115333,0.0507526930679823,-0.5234407140911926,True,0.714803489775997,-0.00300587864947995,0.053924689528449206,-0.020892777841037387,0.9997026001764906,0.9997070556112143,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
