idx,tau,phi_data,h_tau
103,0.1031031031031031,0.0663252898771547,0.0
104,0.1041041041041041,0.06318995470906097,0.0
105,0.10510510510510511,0.06005461954096724,0.0
106,0.1061061061061061,0.05691928437287357,0.0
107,0.10710710710710711,0.053783949204779836,0.0
108,0.10810810810810811,0.05064861403668611,0.0
109,0.1091091091091091,0.04751327886859244,0.0
110,0.11011011011011011,0.044377943700498704,0.0
111,0.1111111111111111,0.04124260853240504,0.0
112,0.11211211211211211,0.0381072733643113,0.0
113,0.11311311311311312,0.03497193819621758,0.0
114,0.11411411411411411,0.0318366030281239,0.0
115,0.11511511511511512,0.028701267860030175,0.0
116,0.11611611611611611,0.025565932691936508,0.0
117,0.11711711711711711,0.02243059752384277,0.0
118,0.11811811811811812,0.019295262355749035,0.0
119,0.11911911911911911,0.016159927187655368,0.0
120,0.12012012012012012,0.013024592019561632,0.0
121,0.12112112112112113,0.009889256851467909,0.0
122,0.12212212212212212,0.006753921683374242,0.0
123,0.12312312312312312,0.003618586515280506,0.0
124,0.12412412412412413,0.00048325134718676943,0.0
125,0.12512512512512514,-0.002652083820906967,0.0
126,0.12612612612612611,-0.0057874189890005645,0.0
127,0.12712712712712712,-0.0089227541570943,0.0
128,0.12812812812812813,-0.012058089325188023,0.0
129,0.12912912912912913,-0.01519342449328176,0.0
130,0.13013013013013014,-0.018328759661375496,0.0
131,0.13113113113113112,-0.021464094829469094,0.0
132,0.13213213213213212,-0.024599429997562844,0.0
133,0.13313313313313313,-0.027734765165656566,0.0
134,0.13413413413413414,-0.03087010033375029,0.0
135,0.13513513513513514,-0.03400543550184404,0.0
136,0.13613613613613612,-0.03714077066993762,0.0
137,0.13713713713713713,-0.04027610583803137,0.0
138,0.13813813813813813,-0.043411441006125095,0.0
139,0.13913913913913914,-0.04654677617421882,0.0
140,0.14014014014014015,-0.04968211134231257,0.0
141,0.14114114114114115,-0.05281744651040629,0.0
142,0.14214214214214213,-0.0559527816784999,0.0
143,0.14314314314314314,-0.059088116846593625,0.0
144,0.14414414414414414,-0.062223452014687375,0.0
145,0.14514514514514515,-0.0653587871827811,0.0
146,0.14614614614614616,-0.06849412235087482,0.0
147,0.14714714714714713,-0.07162945751896843,0.0
148,0.14814814814814814,-0.07476479268706215,0.0
149,0.14914914914914915,-0.0779001278551559,0.0
150,0.15015015015015015,-0.08103546302324963,0.0
151,0.15115115115115116,-0.08417079819134335,0.0
152,0.15215215215215216,-0.08730613335943704,0.0
153,0.15315315315315314,-0.09044146852753071,0.0
154,0.15415415415415415,-0.09357680369562443,0.0
155,0.15515515515515516,-0.09671213886371816,0.0
156,0.15615615615615616,-0.0998474740318119,0.0
157,0.15715715715715717,-0.10298280919990557,0.0
158,0.15815815815815815,-0.10611814436799924,0.0
159,0.15915915915915915,-0.10925347953609296,0.0
160,0.16016016016016016,-0.11238881470418668,0.0
161,0.16116116116116116,-0.11552414987228043,0.0
162,0.16216216216216217,-0.1186594850403741,0.0
163,0.16316316316316315,-0.12179482020846777,0.0
164,0.16416416416416416,-0.12493015537656149,0.0
165,0.16516516516516516,-0.12806549054465524,0.0
166,0.16616616616616617,-0.13120082571274896,0.0
167,0.16716716716716717,-0.13433616088084263,0.0
168,0.16816816816816815,-0.1374714960489363,0.0
169,0.16916916916916916,-0.14060683121703002,0.0
170,0.17017017017017017,-0.14374216638512377,0.0
171,0.17117117117117117,-0.14687750155321752,0.0
172,0.17217217217217218,-0.1500128367213112,0.0
173,0.17317317317317318,-0.1531481718894049,0.0
174,0.17417417417417416,-0.15628350705749858,0.0
175,0.17517517517517517,-0.1594188422255923,0.0
176,0.17617617617617617,-0.16255417739368602,0.0
177,0.17717717717717718,-0.1656895125617797,0.0
178,0.1781781781781782,-0.1688248477298734,0.0
179,0.17917917917917917,-0.17196018289796708,0.0
180,0.18018018018018017,-0.17509551806606086,0.0
181,0.18118118118118118,-0.17823085323415458,0.0
182,0.18218218218218218,-0.17963790614845404,0.0
183,0.1831831831831832,-0.1780204651186137,0.0
184,0.1841841841841842,-0.17640302408877334,0.0
185,0.18518518518518517,-0.17478558305893305,0.0
186,0.18618618618618618,-0.1731681420290927,0.0
187,0.1871871871871872,-0.17155070099925235,0.0
188,0.1881881881881882,-0.169933259969412,0.0
189,0.1891891891891892,-0.16831581893957165,0.0
190,0.19019019019019018,-0.16669837790973135,0.0
191,0.19119119119119118,-0.165080936879891,0.0
192,0.1921921921921922,-0.16346349585005063,0.0
193,0.1931931931931932,-0.16184605482021028,0.0
194,0.1941941941941942,-0.16022861379036993,0.0
195,0.19519519519519518,-0.15861117276052963,0.0
196,0.1961961961961962,-0.15699373173068928,0.0
197,0.1971971971971972,-0.15537629070084893,0.0
198,0.1981981981981982,-0.15375884967100859,0.0
199,0.1991991991991992,-0.15214140864116824,0.0
200,0.20020020020020018,-0.15052396761132794,0.0
201,0.2012012012012012,-0.1489065265814876,0.0
202,0.2022022022022022,-0.14728908555164721,0.0
203,0.2032032032032032,-0.14567164452180686,0.0
204,0.2042042042042042,-0.14405420349196651,0.0
205,0.20520520520520522,-0.14243676246212617,0.0
206,0.2062062062062062,-0.14081932143228587,0.0
207,0.2072072072072072,-0.13920188040244552,0.0
208,0.2082082082082082,-0.13758443937260517,0.0
209,0.2092092092092092,-0.13596699834276482,0.0
210,0.21021021021021022,-0.13434955731292447,0.0
211,0.2112112112112112,-0.13273211628308418,0.0
212,0.2122122122122122,-0.13111467525324383,0.0
213,0.2132132132132132,-0.12949723422340348,0.0
214,0.21421421421421422,-0.12787979319356313,0.0
215,0.21521521521521522,-0.12626235216372275,0.0
216,0.21621621621621623,-0.1246449111338824,0.0
217,0.2172172172172172,-0.12302747010404211,0.0
218,0.2182182182182182,-0.12141002907420176,0.0
219,0.21921921921921922,-0.11979258804436141,0.0
220,0.22022022022022023,-0.11817514701452106,0.0
221,0.22122122122122123,-0.1165577059846807,0.0
222,0.2222222222222222,-0.11494026495484042,0.0
223,0.22322322322322322,-0.11332282392500005,0.0
224,0.22422422422422422,-0.1117053828951597,0.0
225,0.22522522522522523,-0.11008794186531935,0.0
226,0.22622622622622623,-0.10847050083547899,0.0
227,0.2272272272272272,-0.10685305980563871,0.0
228,0.22822822822822822,-0.10523561877579836,0.0
229,0.22922922922922923,-0.103618177745958,0.0
230,0.23023023023023023,-0.10200073671611765,0.0
231,0.23123123123123124,-0.1003832956862773,0.0
232,0.23223223223223222,-0.098765854656437,0.0
233,0.23323323323323322,-0.09714841362659665,0.0
234,0.23423423423423423,-0.09553097259675629,0.0
235,0.23523523523523523,-0.09391353156691594,0.0
236,0.23623623623623624,-0.09229609053707559,0.0
237,0.23723723723723725,-0.09067864950723524,0.0
238,0.23823823823823823,-0.08906120847739495,0.0
239,0.23923923923923923,-0.0874437674475546,0.0
240,0.24024024024024024,-0.08582632641771423,0.0
241,0.24124124124124124,-0.08420888538787388,0.0
242,0.24224224224224225,-0.08259144435803353,0.0
243,0.24324324324324323,-0.08097400332819324,0.0
244,0.24424424424424424,-0.07935656229835289,0.0
245,0.24524524524524524,-0.07773912126851253,0.0
246,0.24624624624624625,-0.07612168023867218,0.0
247,0.24724724724724725,-0.07450423920883183,0.0
248,0.24824824824824826,-0.07288679817899148,0.0
249,0.24924924924924924,-0.07126935714915118,0.0
250,0.2502502502502503,-0.06965191611931076,0.0
251,0.25125125125125125,-0.06803447508947047,0.0
252,0.25225225225225223,-0.06641703405963019,0.0
253,0.25325325325325326,-0.06479959302978977,0.0
254,0.25425425425425424,-0.06318215199994948,0.0
255,0.2552552552552553,-0.06156471097010906,0.0
256,0.25625625625625625,-0.05994726994026876,0.0
257,0.25725725725725723,-0.05832982891042848,0.0
258,0.25825825825825827,-0.056712387880588064,0.0
259,0.25925925925925924,-0.055094946850747784,0.0
260,0.2602602602602603,-0.05347750582090735,0.0
261,0.26126126126126126,-0.051860064791067056,0.0
262,0.26226226226226224,-0.05024262376122679,0.0
263,0.26326326326326327,-0.04862518273138636,0.0
264,0.26426426426426425,-0.04700774170154606,0.0
265,0.2652652652652653,-0.04539030067170566,0.0
266,0.26626626626626626,-0.043772859641865364,0.0
267,0.26726726726726724,-0.04215541861202507,0.0
268,0.2682682682682683,-0.040537977582184664,0.0
269,0.26926926926926925,-0.03892053655234437,0.0
270,0.2702702702702703,-0.03730309552250394,0.0
271,0.27127127127127126,-0.03568565449266364,0.0
272,0.27227227227227224,-0.03406821346282338,0.0
273,0.2732732732732733,-0.030367342213784655,0.0
274,0.27427427427427425,-0.02493027911541433,0.0
275,0.2752752752752753,-0.01949321601704357,0.0
276,0.27627627627627627,-0.014056152918673247,0.0
277,0.2772772772772773,-0.008619089820302486,0.0
278,0.2782782782782783,-0.003182026721932161,0.0
279,0.27927927927927926,0.0022550363764381604,0.0
