tau,phi_data,phi_full,residual_full
0.079079079079079,0.1693638047195069,0.1355958553283185,0.03376794939118841
0.08008008008008,0.1638769681753429,0.1329949149537043,0.03088205322163859
0.081081081081081,0.158390131631179,0.1305960544748079,0.027794077156371083
0.082082082082082,0.152903295087015,0.1280181480471145,0.024885147039900496
0.083083083083083,0.1474164585428509,0.125548346728387,0.02186811181446391
0.084084084084084,0.141929621998687,0.1231210514658024,0.018808570532884594
0.085085085085085,0.136442785454523,0.1205762235571286,0.01586656189739441
0.086086086086086,0.130955948910359,0.118415946439256,0.012540002471102998
0.087087087087087,0.125469112366195,0.1161046537093382,0.009364458656856811
0.088088088088088,0.119982275822031,0.1139331153069926,0.006049160515038399
0.0890890890890891,0.114495439277867,0.1118959828411318,0.0025994564367352035
0.09009009009009,0.109008602733703,0.1098901453848314,-0.0008815426511284002
