lambda_b,lambda_k,init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message,orig_init_index
0.01,0.0,18.0,0.0334498315844764,-0.2309034513429552,0.4074348336941934,0.4221892974733541,True,0.1955444788019241,0.000331680384422,0.6303188698230684,-0.5831557107259616,0.9996161469791176,0.9996161480792364,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,20.0,0.6035126982910195,-0.4398605222398897,0.2585877345921218,-0.1381797056360352,True,0.5853170635468437,0.0003676069788374,0.2403920997469378,-0.5820519145801996,0.9996161464098005,0.9996161477611492,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,21.0,0.3704038234169429,-0.9240589471305724,0.3705270852761884,-0.6204631473154941,True,0.4128255504239081,0.0003418260815811,0.4129488122831535,-0.5816423556535435,0.9996161468284348,0.9996161479968854,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,22.0,0.8429477052130581,-0.0394449601910991,0.2493962658863483,-0.9004041550119006,True,0.7081204636287624,0.0037168059142113,0.1180003144193661,-0.7629236131824613,0.9996028112604948,0.9996029494069568,45,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,23.0,0.6693797729974666,0.0667680254743663,0.1262018978524396,-0.6788421757206845,True,0.6845589053010716,0.0006787041649826,0.1413810302403037,-0.6792952501243926,0.9996172114330972,0.9996172160394906,6,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,24.0,0.1159889744011453,-1.172424918491057,0.5391672993603452,-0.4002959141928668,True,0.2012574971510823,0.0002850338876397,0.6244358216369436,-0.5829995516097516,0.9996161468177716,0.9996161476302148,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,25.0,0.7634873213606861,-0.3980573482967532,0.523904020955842,0.4587272014732067,True,0.5184281171375604,0.0037014297785132,0.3076315041931102,-0.7629029152834289,0.9996028124574392,0.9996029494632632,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.01,0.0,27.0,0.4785329944947132,-0.0307067636614579,0.0,0.1779952500833008,True,0.6520682108850882,0.0006012848074481,0.1735352129974501,-0.5835765378599179,0.9996161451808556,0.9996161487962896,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,28.0,0.7414773093672309,-0.615799463509808,0.0462911346216695,-0.5127820443626246,True,0.7530871230163846,0.0003440613532704,0.0725945340150982,-0.5830248087138707,0.9996161464765104,0.9996161476602924,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,29.0,0.7989594205105052,0.2221422040207961,0.2708427801394237,-0.7477217767506885,True,0.5990743705961701,0.0007738919942206,0.2270518509506857,-0.7194323978232239,0.9996167573797378,0.999616763368826,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,0.0,0.1924087269896673,-0.4928128409473062,0.6843477923113284,0.4372705884176672,True,0.1924087644811322,-0.4928129171294011,0.6843477931062996,0.4372710178812403,2.3507859208963624,2.355126626040047,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.01,0.01,1.0,0.2811173028824225,-0.6159019314472327,0.0,0.0560463234794702,True,0.5250331520253133,-0.0031378625060703,0.2439158489794146,-0.020686787082843,0.9997026761112108,0.9997070540046198,7,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,2.0,0.3994260599216849,-1.1192622833186603,0.2475321449844432,0.3994784616643575,True,0.3943328495667423,-0.0027436873352824,0.3742745353690488,-0.0207744662948848,0.999702665107942,0.9997070561706424,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,3.0,0.3275670224074654,-0.1885927752902163,0.4076231426330944,-0.4289881130407052,True,0.3450880937575767,-0.0029882019892704,0.4251442139832057,-0.0211448658867323,0.9997024909325568,0.9997070512796016,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,6.0,0.5980969761179511,-1.2439219666889174,0.1382180127196703,0.40686626171732,True,0.5693910723614367,-0.0027211293590356,0.2007824457252471,-0.0209672394435502,0.9997025809289346,0.9997070512256834,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,7.0,0.2331042382431063,-0.6143238924239963,0.4458943174143689,0.0484251069018426,True,0.2784236242630838,-0.0026623826550891,0.4912137034343465,-0.0209221011457691,0.9997026031140362,0.9997070513400138,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,8.0,0.7187057217777402,-0.1493292802711533,0.0507526930679823,-0.5234407140911926,True,0.714803489775997,-0.0030058786494799,0.0539246895284492,-0.0208927778410373,0.9997026001764906,0.9997070556112144,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,9.0,0.2854280632095884,-0.3671668027628421,0.5127710537375698,0.290886500373762,True,0.2588966821132497,-0.0030641339703961,0.5116108163686136,-0.0210428643538205,0.999702529947094,0.999707051857666,9,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,10.0,0.5957456902439814,0.1315580014000539,0.0815274593617864,0.4805499688810274,True,0.6064101786738573,-0.0034024859202491,0.1636802175658878,-0.0210328094664536,0.9997025132689836,0.9997070528288284,7,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,13.0,0.666778210930426,0.3820492036950997,0.0500113088617793,-0.2780656875024289,True,0.6932589706639438,-0.0029109379676999,0.0764920687185762,-0.0208030845529828,0.999702638070288,0.9997070504891558,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,15.0,0.5183197458384288,-0.909791103236135,0.1270506631377645,0.4952187710458094,True,0.5183194554170196,-0.909791311769288,0.1270508301139085,0.4952205891028858,1.611109683389154,1.621839320017577,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
